,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap,cluster,total_per_var
0,1995-06-01,0,41.70994963094486,17.23893041836499,-16.75,-21.75,0.9552233205803063,-13,-0.7758465404580256,-13,1,58.94888004930985
1,1995-07-01,0,41.702203900846705,17.192909232853935,-17.0,-22.0,0.9531488169101436,-14,-0.8104966761776705,-13,1,58.89511313370064
2,1995-08-01,0,42.14261220945852,16.239287632214484,-17.0,-23.0,0.9507419058179314,-14,-0.8448249421977234,-14,1,58.381899841673004
3,1995-09-01,0,42.1026641464608,16.06284069230991,-17.0,-23.0,0.9458504172665704,-14,-0.8774944386562519,-14,1,58.165504838770715
4,1995-10-01,0,42.7900824609346,16.014430770336453,-17.25,-23.25,0.9412737744052292,-14,-0.9076690508811412,-14,1,58.80451323127105
5,1995-11-01,0,41.455336697362505,16.26009324435683,-18.5,-22.75,0.9335576507811234,-14,-0.9279051418210148,-15,1,57.715429941719336
6,1995-12-01,0,40.1213844124089,17.619847278587116,-18.0,-27.75,0.9229982491809442,-14,-0.9424061544077504,-15,1,57.74123169099602
7,1996-01-01,0,39.7895681771771,17.1743514582663,-17.0,-29.0,0.9107804292839894,-14,-0.9481272618817836,-15,1,56.9639196354434
8,1996-02-01,0,39.44543536131898,16.996566088542355,-16.5,-23.25,0.896959330486166,-14,-0.9490490093172425,-15,1,56.44200144986134
9,1996-03-01,0,39.66215323675963,17.37855178686222,-16.5,-23.5,0.8810579948037354,-14,-0.9470024601437744,-15,1,57.040705023621854
10,1996-04-01,0,36.22680025860446,18.123297029664837,-14.75,-23.25,0.8605745889028754,-14,-0.942198137177482,-15,1,54.350097288269296
11,1996-05-01,0,35.551552265879934,18.20031367072828,-14.75,-22.5,0.834324379868001,-13,-0.9345613228097628,-16,1,53.75186593660821
12,1996-06-01,0,35.46683974818879,18.1264521847987,-14.75,-23.0,0.8044915313676233,-13,-0.9302001014677596,-16,1,53.59329193298749
13,1996-07-01,0,34.19012097073267,18.64221908779662,-14.75,-24.25,0.7727588405307575,-13,-0.9263439745131968,-16,1,52.83234005852929
14,1996-08-01,0,34.227284556471574,18.567841095958983,-15.5,-25.0,0.74277294487769,-12,-0.9247253314187236,-16,1,52.795125652430556
15,1996-09-01,0,34.21607839130899,18.11173492209816,-15.25,-25.0,0.7151809718747919,-12,-0.9260090985730632,-16,1,52.32781331340715
16,1996-10-01,0,34.695548509865674,18.12015682196112,-15.5,-24.75,0.686393058005922,-12,-0.9188032878100432,-17,0,52.81570533182679
17,1996-11-01,0,34.381406430444,18.088579460625063,-15.5,-24.0,0.6501472585189548,-12,-0.8876196526872001,-17,0,52.469985891069065
18,1996-12-01,0,35.81652498551432,17.04852446150586,-16.25,-21.25,0.6065049655933352,-12,-0.8039214697389587,-17,0,52.86504944702018
19,1997-01-01,0,34.60013959129883,17.2180300188227,-16.75,-22.0,0.5614420455006361,-12,-0.6211930419852348,-17,0,51.81816961012153
20,1997-02-01,0,34.034668426016204,19.1632128783142,-17.25,-21.25,-0.5465380147832889,-18,-0.377232217791914,-17,0,53.19788130433041
21,1997-03-01,0,33.00432414591371,19.065019788356675,-17.25,-24.25,-0.680588421447407,-18,0.2536920227441058,-10,3,52.06934393427039
22,1997-04-01,0,32.99159584709812,18.729651382285187,-17.0,-22.5,-0.7088773313011205,-18,0.3533820370379358,-10,3,51.72124722938331
23,1997-05-01,0,33.18633530700571,18.648008374499582,-17.25,-24.75,-0.6958181383285388,-18,0.4300651514412538,-11,3,51.834343681505295
24,1997-06-01,0,34.14035028429435,18.430972501005503,-17.25,-24.25,-0.6798998166328094,-18,0.4770125168738645,-11,3,52.571322785299856
25,1997-07-01,0,34.37623900993144,18.783226906317495,-17.25,-24.75,-0.678682100460554,-18,0.4903618952197119,-12,3,53.159465916248934
26,1997-08-01,0,34.44698741621458,18.698241298698008,-17.25,-24.5,-0.6777648998170492,-18,-0.459178663433646,-18,3,53.14522871491259
27,1997-09-01,0,34.10344668442251,18.80294155386079,-17.25,-22.75,-0.6546212338144813,-18,0.3928870847073676,-10,0,52.9063882382833
28,1997-10-01,0,34.28453990669523,18.676308190107388,-17.25,-22.0,0.7138845282665952,-11,0.3846920666162401,-10,0,52.96084809680262
29,1997-11-01,0,34.28273127951124,19.2234080313409,-17.25,-21.25,0.7553909674829248,-10,0.3934274338803097,-10,0,53.506139310852134
