,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap
0,1995-06-01,0,41.70994963094486,17.23893041836499,-16.75,-21.75,0.9552233205803063,-13,-0.7758465404580256,-13
1,1995-07-01,0,41.702203900846705,17.192909232853935,-17.0,-22.0,0.9531488169101437,-14,-0.8104966761776705,-13
2,1995-08-01,0,42.14261220945852,16.239287632214484,-17.0,-23.0,0.9507419058179314,-14,-0.8448249421977234,-14
3,1995-09-01,0,42.102664146460796,16.06284069230991,-17.0,-23.0,0.9458504172665704,-14,-0.8774944386562519,-14
4,1995-10-01,0,42.7900824609346,16.014430770336453,-17.25,-23.25,0.9412737744052291,-14,-0.9076690508811411,-14
5,1995-11-01,0,41.455336697362505,16.26009324435683,-18.5,-22.75,0.9335576507811234,-14,-0.9279051418210147,-15
6,1995-12-01,0,40.1213844124089,17.619847278587116,-18.0,-27.75,0.9229982491809442,-14,-0.9424061544077503,-15
7,1996-01-01,0,39.7895681771771,17.1743514582663,-17.0,-29.0,0.9107804292839894,-14,-0.9481272618817835,-15
8,1996-02-01,0,39.44543536131898,16.996566088542355,-16.5,-23.25,0.896959330486166,-14,-0.9490490093172423,-15
9,1996-03-01,0,39.662153236759636,17.37855178686222,-16.5,-23.5,0.8810579948037354,-14,-0.9470024601437743,-15
10,1996-04-01,0,36.22680025860446,18.123297029664837,-14.75,-23.25,0.8605745889028754,-14,-0.942198137177482,-15
11,1996-05-01,0,35.551552265879934,18.20031367072828,-14.75,-22.5,0.834324379868001,-13,-0.9345613228097627,-16
12,1996-06-01,0,35.46683974818879,18.1264521847987,-14.75,-23.0,0.8044915313676233,-13,-0.9302001014677597,-16
13,1996-07-01,0,34.19012097073267,18.64221908779662,-14.75,-24.25,0.7727588405307575,-13,-0.9263439745131969,-16
14,1996-08-01,0,34.227284556471574,18.567841095958983,-15.5,-25.0,0.74277294487769,-12,-0.9247253314187236,-16
15,1996-09-01,0,34.21607839130899,18.111734922098158,-15.25,-25.0,0.7151809718747919,-12,-0.9260090985730632,-16
16,1996-10-01,0,34.695548509865674,18.12015682196112,-15.5,-24.75,0.686393058005922,-12,-0.9188032878100433,-17
17,1996-11-01,0,34.381406430444,18.088579460625066,-15.5,-24.0,0.6501472585189548,-12,-0.8876196526872001,-17
18,1996-12-01,0,35.81652498551432,17.04852446150586,-16.25,-21.25,0.6065049655933352,-12,-0.8039214697389587,-17
19,1997-01-01,0,34.60013959129883,17.2180300188227,-16.75,-22.0,0.5614420455006361,-12,-0.6211930419852348,-17
20,1997-02-01,0,34.034668426016204,19.1632128783142,-17.25,-21.25,-0.5465380147832889,-18,-0.377232217791914,-17
